index,QatABCD,RADAR,Zorya Type I,CBASS Type II,TerY-P,CBASS Type III,AbiEii,IetAS,Septu,Wadjet Type I,Druantia Type III,CBASS Type IIv,Gao System 20,AVAST Type V,Gabija
Pa10,0.21202918550437924,-0.7086849618604619,-0.6917644734626279,0.25749771274833017,-0.014795284999511367,-0.46235901162172466,-0.7699124048387459,0.06666684900350121,-0.08943909396011945,0.05373561151083079,0.49958781270332775,-0.08097139696539947,0.1982425798274994,-0.1901305478598708,-0.600299930967125
Pa12,0.7517052077565487,-0.5515816107493464,-0.06053650555224845,-0.10252729419952733,0.13831278068336558,-0.5145655412430878,-0.39841000116222713,0.05248857093089602,-0.1240355003381709,-0.3311238023618467,0.47957239526826084,-0.1162871904689774,0.1519989050419123,-0.0025964630778728807,-0.3995351328275348
Pa14,0.8558112403876761,-0.5936760059282559,0.009412401015622083,-0.15605124440264284,0.28522767321006803,0.44244754902661265,-0.31104448678610064,0.09631459266887493,-0.022440262077496418,-0.48060391845528255,0.502618558165506,-0.03294599475349466,-0.05650721978145387,0.22693450748750674,-0.43325794697415865
Pa15,0.9611817727662925,0.1985672438765044,0.5556379205144689,0.7254720805121398,0.17163951794341237,-0.8031296792761852,0.7253690819116674,-0.32991830710429065,0.4337748943914521,0.46831779556597075,0.2802459391755007,0.7153753348057433,0.42696383903347623,0.049570548028183996,0.12008509585553066
Pa18,-0.04783151173073258,0.7910364807652622,0.5434242243786528,0.7812542901721873,0.9587253196568742,1.1013491006272986,-0.20872048035977375,-0.24475493435342446,-0.21284886496994435,-0.12169820456175078,-0.1581230560090113,-0.03870217519221696,-0.2136135248075088,0.036116313773290214,-0.22848845892824568
Pa2,0.43860438359203857,-0.9735134116776353,-0.45854857229990503,0.2962481149393459,0.12674195689210635,-0.6265916188965962,-0.7293349369763417,-0.08290334762002483,-0.04130587492469523,-0.5645677679439748,0.8226248669493303,-0.04659570915084976,0.4098806500086875,0.1389854770530999,-0.8958670783135491
Pa21,0.8582743761038677,-0.5325998676603808,-0.09881069337988752,-0.14384225788054752,0.23062407910410873,0.18808444365470098,-0.3401928330392905,0.03206519143767966,-0.04686118530542346,-0.43165870727885675,0.518471306741323,-0.055390753753672806,-0.14907289992821102,0.1240689397959376,-0.3991696946790159
Pa22,0.12731883772943633,0.8154402527510434,0.6209685395853641,0.7440785913450864,0.8058916938113656,1.0568177959114176,0.049138442672964744,-0.0014373258279883159,0.025840131756017726,0.1608908577431549,0.0722955696571594,0.10013883832882868,0.02863791632800668,0.15136652333389403,0.042214641627365705
Pa23,-0.02785891622854823,-0.7551726701042384,-0.34848734960813665,0.17050875865928272,0.43140833993889466,-0.5527426327306552,-0.5042069630750204,0.27942803611755446,0.061058686686289075,-0.6855978804756745,0.6744727070974971,0.10155213711937698,0.1161723390810287,0.37045279207912385,-0.7096005377736408
Pa24,0.8109458258218077,-0.4559405024694234,-0.046689751851574014,-0.016967077243695294,0.28566769159097744,-0.39301548010492765,-0.18832528460799824,0.07264991758385217,-0.0463669869147082,0.06719404734307204,0.5566723666060539,-0.07170724457854863,-0.09350174387914456,0.1505403758889341,-0.3083257040240037
Pa25,0.06448014384428036,0.6279564053412175,0.5880948492627361,0.6168531286473988,0.8842977749412116,0.825079492587759,0.026904795609298534,-0.010906017950317808,0.0173026782246606,0.059293691167274974,0.044957968695880195,0.05759644882651956,0.01074076728910762,0.13002676562760127,0.006842628334869749
Pa28,0.9853106263898486,0.12557447028336777,0.5515248325491022,0.7187721760501486,0.0830142885284046,-0.8906749224640059,0.7095855807090151,-0.375734072233276,0.43500091532242724,0.42764842396574815,0.32713078251396577,0.6686259453860929,0.45941097409955584,0.029132907619282947,-0.23083440066129293
Pa29,0.04005782959846447,-0.06804675263417714,0.2938731757380045,0.24512288903965684,-0.08030287185866448,0.1384991630553983,0.0745654446286642,-0.04773640256149584,-0.032804283121683944,0.7108260138192447,0.541325117911275,0.043696830418540715,0.020671108747073955,-0.034559395938937885,0.04605845560376016
Pa3,0.5926306763889712,-0.05241403074844703,0.6610530632756234,0.6892366026713993,0.7497343693961319,0.730726406863992,0.04569689505437352,-0.0723935051410201,-0.05662966678141251,0.1870680195207287,0.1488316320381106,0.1400710732510929,-0.031236492943962857,0.14269862596955327,0.03821481499960322
Pa32,-0.07026994881183685,0.7603806072471452,-0.5467484471055672,-0.2306299254670212,0.0865207173787872,-0.4098732537777585,-0.2804200552233678,0.24971518799501835,-0.07874614163651893,0.06697442583516287,0.5844223719662415,-0.10015020257641871,-0.17359028921881584,-0.0019360207983118716,-0.3533720205381388
Pa33,0.03436325744903079,0.933059951399594,-0.9827924352023732,-0.06713181460155022,0.03436325744903079,-0.6515877114450696,-0.4425440758436469,0.19198541309727554,0.011392679597269187,0.2531431160036344,0.5516547330865684,0.0576109007426252,0.034256880731587974,-0.019357824997512162,-0.6684599246217818
Pa34,-0.043340688163145326,0.7760278858697461,-0.47985364638726563,0.1516894705900628,0.06893930116719003,-0.3646100872470512,-0.23365652324553188,0.25746377019851985,-0.008735140662504066,0.056795237225013756,0.5917687394022842,-0.08480357304400594,-0.18049677816575718,-0.047728407788096956,-0.34143610922440376
Pa35,-0.1341146786549187,0.8999907734271414,-0.6363080061316649,0.11501188397407176,-0.20040416585464702,-0.4793852716710289,-0.31241200573637284,0.2371821208302981,-0.09975456189609926,-0.07752900917002005,0.5019976326309872,-0.12446710085899405,-0.1949588866713713,-0.03125418133251271,-0.44059406171799426
Pa36,-0.8878005931963235,-0.07536918571380284,-0.0800428330575181,0.01671615744309768,0.29173622640202046,0.8645992691829415,-1.0928043953917108,-0.07217535547945213,-0.04763828841222694,-0.23901076376733044,-0.6122064130907082,0.06970887710292112,-0.06358884755308856,0.7369939359549417,0.039968516617814864
Pa4,0.2923191753102275,0.13447583420726258,0.6123083257779832,0.047371067663154715,0.04306679124067082,0.3958517992961607,-0.02824389597833574,0.01882049486460628,0.09010496180861656,0.013350302032308364,0.030865743130817677,-0.06565151825308448,-0.01594377534237532,-0.08809533278060512,0.08567765522363131
Pa40,0.05045008094322451,0.7340537141284678,0.007704371650155893,0.3913053179106967,0.5400390180107301,-0.0027387803531644106,0.12663806310479506,0.00941974703151536,0.0365072738599429,0.223530739536047,0.9446070447375928,-0.014452536668226735,0.04490877363407945,-0.018252123180782374,0.010847409408320213
Pa49,0.29855548242897934,0.945326312663666,-0.681713159890472,-0.6170652481403404,0.41438971745304237,-0.4942526297709632,-0.4012330249360129,0.18065223306966294,-0.1166829795793541,0.007706393086667387,0.4524945313175238,-0.1981592142931354,-0.2246518668607344,-0.011602443934976552,-0.44305919435937463
Pa6,0.3161732676515044,0.9969440879274769,0.6608471832359332,0.8307027168824898,0.8985394465248099,1.232105644875231,-0.02503696979260565,0.0252883724681993,0.05066716657948809,0.12209342660118506,0.053549974061134466,0.07895722961330987,0.007305851999658067,0.08687082717828513,0.05632115306223016
Pa7,0.883627340755481,-0.4367177635139334,0.1362730268986951,0.028180664726584124,0.20059607830712323,-0.3571616403855538,-0.27916847113505633,0.08284526762406236,-0.02131437059698335,-0.1492129804421295,0.5594729709670608,0.0364187252642186,0.21705515311309842,0.26295661628556644,-0.2725743347094974
